구별,1차 대상자합계,1차 남자대상자,1차 여자대상자,1차 수검자합계,1차 남자수검자,1차 여자수검자,1차 수검률합계,1차 남자수검률,1차 여자수검률,2차 대상자합계,2차 남자대상자,2차 여자대상자,2차 수검자합계,2차 남자수검자,2차 여자수검자,2차 수검률합계,2차 남자수검률,2차 여자수검률
서울시,"3,271,651","1,629,803","1,641,848","2,457,515","1,225,752","1,231,763",75.1,75.2,75,"245,001","160,555","84,446","89,099","60,104","28,995",36.4,37.4,34.3
종로구,"50,492","24,505","25,987","34,671","16,572","18,099",68.7,67.6,69.6,"3,416","2,166","1,250","1,220",810,410,35.7,37.4,32.8
중구,"44,065","21,535","22,530","30,856","14,788","16,068",70,68.7,71.3,"3,252","2,017","1,235","1,151",736,415,35.4,36.5,33.6
용산구,"74,183","36,329","37,854","52,128","25,377","26,751",70.3,69.9,70.7,"4,967","3,184","1,783","1,802","1,157",645,36.3,36.3,36.2
성동구,"97,732","49,137","48,595","72,085","36,195","35,890",73.8,73.7,73.9,"6,975","4,614","2,361","2,529","1,709",820,36.3,37,34.7
광진구,"119,613","58,985","60,628","89,620","43,969","45,651",74.9,74.5,75.3,"8,767","5,678","3,089","3,051","2,023","1,028",34.8,35.6,33.3
동대문구,"117,413","58,659","58,754","86,733","42,762","43,971",73.9,72.9,74.8,"9,354","6,072","3,282","3,433","2,277","1,156",36.7,37.5,35.2
중랑구,"137,683","69,341","68,342","104,308","51,842","52,466",75.8,74.8,76.8,"11,943","7,747","4,196","4,112","2,783","1,329",34.4,35.9,31.7
성북구,"144,474","71,423","73,051","106,473","52,705","53,768",73.7,73.8,73.6,"11,501","7,251","4,250","4,141","2,678","1,463",36,36.9,34.4
강북구,"107,084","52,797","54,287","80,206","39,065","41,141",74.9,74,75.8,"9,093","5,780","3,313","3,505","2,275","1,230",38.5,39.4,37.1
도봉구,"116,086","58,413","57,673","88,558","44,706","43,852",76.3,76.5,76,"10,487","6,769","3,718","3,949","2,671","1,278",37.7,39.5,34.4
노원구,"180,425","90,203","90,222","138,230","70,404","67,826",76.6,78.1,75.2,"14,311","9,388","4,923","5,408","3,688","1,720",37.8,39.3,34.9
은평구,"155,390","76,805","78,585","119,187","58,730","60,457",76.7,76.5,76.9,"12,266","7,986","4,280","4,660","3,113","1,547",38,39,36.1
서대문구,"100,518","48,886","51,632","74,873","36,252","38,621",74.5,74.2,74.8,"7,439","4,842","2,597","2,280","1,549",731,30.6,32,28.1
마포구,"124,710","60,599","64,111","94,007","45,781","48,226",75.4,75.5,75.2,"8,733","5,700","3,033","3,430","2,213","1,217",39.3,38.8,40.1
양천구,"152,204","77,237","74,967","116,640","59,800","56,840",76.6,77.4,75.8,"11,581","7,848","3,733","3,752","2,650","1,102",32.4,33.8,29.5
강서구,"196,342","98,219","98,123","154,700","77,758","76,942",78.8,79.2,78.4,"14,814","9,904","4,910","5,646","3,839","1,807",38.1,38.8,36.8
구로구,"147,348","75,310","72,038","114,419","58,368","56,051",77.7,77.5,77.8,"12,343","8,046","4,297","4,517","3,010","1,507",36.6,37.4,35.1
금천구,"85,769","44,711","41,058","66,565","34,410","32,155",77.6,77,78.3,"7,255","4,783","2,472","2,831","1,946",885,39,40.7,35.8
영등포구,"133,640","67,411","66,229","100,530","50,694","49,836",75.2,75.2,75.2,"10,126","6,634","3,492","3,580","2,459","1,121",35.4,37.1,32.1
동작구,"133,036","65,407","67,629","101,475","50,065","51,410",76.3,76.5,76,"9,395","6,102","3,293","3,515","2,363","1,152",37.4,38.7,35
관악구,"170,685","85,813","84,872","130,009","64,895","65,114",76.2,75.6,76.7,"12,935","8,415","4,520","4,855","3,227","1,628",37.5,38.3,36
서초구,"137,819","68,593","69,226","97,963","49,764","48,199",71.1,72.5,69.6,"7,805","5,364","2,441","2,580","1,836",744,33.1,34.2,30.5
강남구,"178,730","86,940","91,790","124,412","61,409","63,003",69.6,70.6,68.6,"10,580","7,109","3,471","3,537","2,437","1,100",33.4,34.3,31.7
송파구,"214,498","107,002","107,496","161,730","81,142","80,588",75.4,75.8,75,"14,091","9,572","4,519","5,539","3,835","1,704",39.3,40.1,37.7
강동구,"151,712","75,543","76,169","117,137","58,299","58,838",77.2,77.2,77.2,"11,572","7,584","3,988","4,076","2,820","1,256",35.2,37.2,31.5
